playerID,fg_playerID,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
bradlje01,13166,Bradley,Jed,Jedidiah Custer,,,,1990,6,12,NA,NA,NA,2011,2019,2016,2016,2009,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
barrima01,1000605,Barrios,Manuel,Manuel Antonio,,,,1974,9,21,NA,NA,NA,1994,2003,1997,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
martifr01,1008165,Martin,Frank,Frank Joseph,,,,1878,7,29,1942,9,2,1897,1905,1897,1899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brownby01,1001500,Browne,Byron,Byron Ellis,,,,1942,12,27,NA,NA,NA,1963,1975,1965,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
darinro01,1002986,Daringer,Rolla,Rolla Harrison,,,,1888,11,15,1974,5,23,1910,1921,1914,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
caligfr01,1001836,Caligiuri,Fred,Frederick John,,,,1918,10,22,2018,11,30,1937,1946,1941,1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hernali01,1116,Hernández,Liván,Eisler Liván,,Carrera,,1975,2,20,NA,NA,NA,1992,2012,1996,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kellywh01,NA,Kelly,W. H.,W. H.,,,,NA,NA,NA,NA,NA,NA,1941,1941,1941,1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
korchst01,1007111,Korcheck,Steve,Stephen Joseph,,,Hoss,1932,8,11,2016,8,26,1954,1960,1954,1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
snydepo01,1012254,Snyder,Pop,Charles N.,,,,1854,10,6,1924,10,29,1873,1891,1873,1891,NA,NA,1882,1891,1882,1891,NA,NA,1875,1902,1875,1901
suckto01,1012667,Suck,Tony,Charles Anthony,,,,1858,11,11,1895,1,29,1883,1887,1883,1884,NA,NA,NA,NA,NA,NA,NA,NA,1890,1891,NA,NA
knudsma01,1007065,Knudson,Mark,Mark Richard,,,,1960,10,28,NA,NA,NA,1982,1993,1985,1993,1979,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sadleca02,11209,Sadler,Casey,Casey Scott,,,,1990,7,13,NA,NA,NA,2010,2023,2014,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
helfha01,1005611,Helf,Hank,Henry Hartz,,,,1913,8,26,1984,10,27,1934,1949,1938,1946,NA,NA,1948,1948,NA,NA,NA,NA,NA,NA,NA,NA
ohkato01,788,Ohka,Tomo,Tomokazu,,,,1976,3,18,NA,NA,NA,1994,2014,1999,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scottja01,1011683,Scott,Jack,John William,,,,1892,4,18,1959,11,30,1913,1931,1916,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
littlla01,1007666,Littleton,Larry,Larry Marvin,,,,1954,4,3,NA,NA,NA,1976,1983,1981,1981,1973,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
milleow01,24655,Miller,Owen,Owen Robert,,,,1996,11,15,NA,NA,NA,2018,2023,2021,2023,2016,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lewisma01,1007585,Lewis,Mark,Mark David,,,,1969,11,30,NA,NA,NA,1988,2007,1991,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asencmi01,586,Asencio,Miguel,Miguel,,DePaula,,1980,9,29,NA,NA,NA,1999,2008,2002,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
edmanto01,19470,Edman,Tommy,Thomas Hyunsu,,,,1995,5,9,NA,NA,NA,2016,2023,2019,2023,2014,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
thomaki01,1012982,Thomas,Kite,Keith Marshall,,,,1923,4,27,1995,1,7,1947,1954,1952,1953,1947,1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vasqujo01,2221,Vásquez,Jorge,Jorge Luis,,,,1978,7,16,NA,NA,NA,2001,2015,2004,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bradyne01,1001329,Brady,Neal,Cornelius Joseph,,,,1897,3,4,1947,6,18,1915,1926,1915,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
roachjo01,1011012,Roach,John,John F.,,,,1867,11,19,1934,4,2,1886,1909,1887,1887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reynobi02,NA,Reynolds,Bill,William Edward,,,Bunk,1928,11,28,1989,1,8,1948,1948,1948,1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
castidi02,19906,Castillo,Diego,Diego Alejandro,,Rodriguez,,1997,10,28,NA,NA,NA,2015,2023,2022,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gilesge01,NA,Giles,George,George Franklin,,,,1909,5,2,1992,3,3,1927,1938,1927,1938,NA,NA,1935,1935,1935,1935,NA,NA,NA,NA,NA,NA
kellybi02,1006793,Kelly,Billy,William Joseph,,,,1886,5,1,1940,6,3,1904,1917,1910,1913,NA,NA,1909,1921,NA,NA,NA,NA,NA,NA,NA,NA
brannmi01,1001352,Brannock,Mike,Michael J.,,,,1851,10,25,1881,10,7,1871,1877,1871,1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bergmal01,1000878,Bergman,Al,Alfred Henry,,,,1889,9,27,1961,6,21,1916,1916,1916,1916,1914,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hessege01,1005748,Hesselbacher,George,George Edward,,,,1895,1,18,1980,2,18,1916,1916,1916,1916,1914,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
montaed01,1009059,Montague,Ed,Edward Francis,,,,1905,7,24,1988,6,17,1923,1939,1928,1932,NA,NA,1939,1939,NA,NA,NA,NA,NA,NA,NA,NA
thomabi01,1012964,Thomas,Bill,William Miskey,,,,1877,12,8,1950,1,14,1901,1909,1902,1902,1899,1899,1909,1909,NA,NA,NA,NA,NA,NA,NA,NA
bakerje02,1000461,Baker,Jesse,Jesse,,,,1895,3,4,1976,7,29,1919,1922,1919,1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
currepe01,1002888,Curran,John,John Henry,,,,1852,NA,NA,1896,9,26,1876,1880,1876,1876,NA,NA,NA,NA,NA,NA,NA,NA,1876,1876,1876,1876
tebeapu01,1012901,Tebeau,Pussy,Charles Alston,,,,1870,2,22,1950,3,25,1890,1896,1895,1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fordto01,1004225,Ford,Tom,Thomas Walter,,,,1866,10,NA,1917,5,27,1887,1897,1890,1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smithbi04,1012096,Smith,Bill,William Garland,,,,1934,6,8,1997,3,30,1953,1964,1958,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tannele01,1012823,Tannehill,Lee,Lee Ford,,,,1880,10,26,1938,2,16,1900,1918,1903,1912,NA,NA,1916,1917,NA,NA,NA,NA,NA,NA,NA,NA
coffmsl01,1002393,Coffman,George,George David,,,Slick,1910,12,11,2003,5,8,1934,1949,1937,1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
