"","playerID","fg_playerID","POS","inducted","play_era","GIDP","GS","InnOuts","PO","A","E","DP","PB","WP","SB_against","CS_for","ZR","Triple Crown","500_hr","3000_hit","1500_runs","1500_rbi","2500_G","ped_use","Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","wOBA","WAR","wRC+","Spd","Def","AVG+","BB%+","K%+","OBP+","SLG+","ISO+","BABIP+","all_star_appearances","num_gold_gloves","num_mvp","num_ws_mvp","silver_slugger","hank_aaron_award"
"1","aaronha01",1000001,"RF","1","Expansion",328,2977,78414,7436,429,144,218,0,0,0,0,0,"0","Yes","Yes","Yes","Yes","Yes","No","Hank Aaron",3298,12364,13940,3771,2294,624,98,755,2174,2297,1402,293,1383,32,121,21,328,240,73,0.305,0.101,0.099,1.01,0.374,0.555,0.928,0.25,0.291,0.403,136.3,153,4.9,-61.2,116,118,77,114,140,187,103,21,3,1,0,0,0
"2","mayswi01",1008315,"CF","1","Expansion",251,2666,71009,7752,233,156,121,0,0,0,0,0,"0","Yes","Yes","Yes","Yes","Yes","No","Willie Mays",3005,10924,12541,3293,1967,525,141,660,2068,1909,1468,192,1526,45,91,13,251,338,103,0.301,0.117,0.122,0.96,0.384,0.557,0.94,0.255,0.299,0.409,149.8,154,6.2,169.6,114,137,97,116,138,186,106,20,8,2,0,0,0
"3","musiast01",1009405,"LF","1","Expansion",243,1198,29643,12439,818,142,962,0,0,0,0,0,"0","No","Yes","Yes","Yes","Yes","No","Stan Musial",3026,10972,12712,3630,2253,725,177,475,1949,1951,1599,127,696,53,53,35,243,78,31,0.331,0.126,0.055,2.3,0.417,0.559,0.976,0.228,0.32,0.435,126.4,157,4.4,-77.6,124,137,54,123,140,173,114,20,0,3,0,0,0
"4","ripkeca01",1010978,"SS","1","Steroids",350,2958,77876,4112,8214,294,1682,0,0,0,0,0,"0","No","Yes","Yes","Yes","Yes","No","Cal Ripken",3001,11551,12883,3184,2106,603,44,431,1647,1695,1129,107,1305,66,127,10,350,36,39,0.276,0.088,0.101,0.87,0.34,0.447,0.788,0.172,0.277,0.346,92.5,112,2.9,310.1,104,100,70,102,109,119,95,19,2,2,0,8,0
"5","carewro01",1001942,"1B","1","Free Agency",216,2229,59197,13510,3709,260,1796,0,0,0,0,0,"0","No","Yes","No","No","No","No","Rod Carew",2469,9315,10550,3053,2404,445,112,92,1424,1015,1018,144,1028,25,64,128,216,353,186,0.328,0.096,0.097,0.99,0.393,0.429,0.822,0.101,0.359,0.369,72.3,132,5.7,-35.4,127,112,75,121,112,82,128,18,0,1,0,0,0
"6","yastrca01",1014326,"LF","1","Free Agency",323,2826,73908,10437,775,135,643,0,0,0,0,0,"1","No","Yes","Yes","Yes","Yes","No","Carl Yastrzemski",3308,11988,13991,3419,2262,646,59,452,1816,1844,1845,190,1393,40,105,13,323,168,116,0.285,0.132,0.1,1.32,0.379,0.462,0.841,0.177,0.29,0.375,94.8,130,3.7,-0.5,111,150,76,117,120,138,104,18,7,1,0,0,0
"7","rosepe01",1011217,"LF","0","Free Agency",247,3437,90298,12394,3349,213,1083,0,0,0,0,0,"0","No","Yes","Yes","No","Yes","No","Pete Rose",3562,14053,15876,4256,3215,746,135,160,2165,1314,1566,167,1143,107,79,56,247,198,149,0.303,0.099,0.072,1.37,0.375,0.409,0.784,0.106,0.319,0.354,80.2,121,4.7,-143,116,114,54,114,106,86,112,17,2,1,1,1,0
"8","willite01",1014040,"LF","1","Integration",197,717,17062,4158,140,113,30,0,0,0,0,0,"2","Yes","No","Yes","Yes","No","No","Ted Williams",2292,7706,9791,2654,1537,525,71,521,1798,1839,2021,86,709,39,20,5,197,24,17,0.344,0.206,0.072,2.85,0.482,0.634,1.116,0.289,0.328,0.494,129.8,187,3.5,-125.1,128,203,80,139,160,228,116,17,0,2,0,0,0
"9","mantlmi01",1008082,"CF","1","Expansion",113,1927,48597,6734,290,107,201,0,0,0,0,0,"1","Yes","No","Yes","Yes","No","No","Mickey Mantle",2401,8102,9909,2415,1463,344,72,536,1677,1509,1733,126,1710,13,47,14,113,153,38,0.298,0.175,0.173,1.01,0.421,0.557,0.977,0.259,0.318,0.428,112.3,170,5,-78.1,115,186,149,126,141,194,115,16,1,3,0,0,0
"10","berrayo01",1000898,"LF","1","Expansion",146,1049,27512,9221,819,125,183,76,123,208,203,10,"0","No","No","No","No","No","No","Yogi Berra",2120,7555,8364,2150,1422,321,49,358,1175,1430,704,49,414,52,44,9,146,30,26,0.285,0.084,0.049,1.7,0.348,0.482,0.83,0.198,0.262,0.37,63.7,124,3.3,109.7,107,84,48,101,121,151,94,15,0,3,0,0,0
"11","gwynnto01",1005166,"RF","1","Steroids",259,2304,59632,4512,160,62,26,0,0,0,0,0,"0","No","Yes","No","No","No","No","Tony Gwynn",2440,9288,10232,3141,2378,543,85,135,1383,1138,790,203,434,24,85,45,261,319,125,0.338,0.077,0.042,1.82,0.388,0.459,0.847,0.12,0.341,0.37,65,132,5.3,-92.2,128,87,29,116,113,86,117,15,5,0,0,7,0
"12","kalinal01",1006678,"RF","1","Expansion",271,2482,65480,5938,235,82,126,0,0,0,0,0,"0","No","Yes","Yes","Yes","Yes","No","Al Kaline",2834,10116,11597,3007,2035,498,75,399,1622,1583,1277,131,1020,55,104,45,271,137,65,0.297,0.11,0.088,1.25,0.376,0.48,0.855,0.182,0.296,0.378,88.9,134,4.4,33.6,115,120,71,114,123,137,107,15,7,0,0,0,0
"13","robinbr01",1011055,"3B","1","Free Agency",297,2790,75256,2712,6220,264,621,0,0,0,0,0,"0","No","No","No","No","Yes","No","Brooks Robinson",2896,10654,11782,2848,2030,482,68,268,1232,1357,860,120,990,53,114,101,298,28,22,0.267,0.073,0.084,0.87,0.322,0.401,0.723,0.133,0.271,0.322,80.2,104,2.9,359.8,105,81,65,99,104,102,99,15,16,1,1,0,0
"14","smithoz01",1012186,"SS","1","Steroids",167,2477,65357,4249,8375,281,1590,0,0,0,0,0,"0","No","No","No","No","Yes","No","Ozzie Smith",2573,9396,10778,2460,1961,402,69,28,1257,793,1072,79,589,33,63,214,167,580,148,0.262,0.099,0.055,1.82,0.337,0.328,0.666,0.066,0.275,0.305,67.6,90,6,375.3,99,114,40,102,84,51,95,15,13,0,0,1,0
"15","benchjo01",1000826,"C","1","Free Agency",201,2003,53143,10469,1191,151,238,94,130,610,469,22,"0","No","No","No","No","No","No","Johnny Bench",2158,7658,8673,2048,1254,381,24,389,1091,1376,891,135,1278,19,90,11,201,68,43,0.267,0.103,0.147,0.7,0.342,0.476,0.817,0.208,0.273,0.362,74.8,125,3.3,161.4,102,116,115,103,123,169,95,14,10,2,1,0,0
"16","bondsba01",1109,"LF","0","Steroids",165,2810,72889,5637,173,97,25,0,0,0,0,0,"0","Yes","No","Yes","Yes","Yes","Yes","Barry Bonds",2986,9847,12606,2935,1495,601,77,762,2227,1996,2558,688,1539,106,91,4,165,514,141,0.298,0.203,0.122,1.66,0.444,0.607,1.051,0.309,0.285,0.435,164.4,173,5.6,67.6,112,226,79,132,146,206,96,14,8,7,0,12,3
"17","jacksre01",1006308,"RF","1","Free Agency",183,2057,53268,4062,133,142,31,0,0,0,0,0,"0","Yes","No","Yes","Yes","Yes","No","Reggie Jackson",2820,9864,11416,2584,1509,463,49,563,1551,1702,1375,164,2597,96,68,13,183,228,115,0.262,0.12,0.227,0.53,0.356,0.49,0.846,0.228,0.298,0.374,72.7,139,4.4,-185,101,138,174,109,127,180,107,14,0,1,2,2,0
"18","jeterde01",826,"SS","1","Modern",287,2661,69677,3820,6605,254,1408,0,0,0,0,0,"0","No","Yes","Yes","No","Yes","No","Derek Jeter",2747,11195,12602,3465,2595,544,66,260,1923,1311,1082,39,1840,170,58,97,287,358,96,0.31,0.086,0.146,0.59,0.377,0.44,0.817,0.13,0.35,0.36,73.1,119,5.6,-19.8,116,100,88,112,103,82,117,14,5,0,1,5,2
"19","rodrial01",1274,"SS","0","Modern",261,2438,63551,2781,5681,235,1060,0,0,0,0,0,"0","Yes","Yes","Yes","Yes","Yes","Yes","Alex Rodriguez",2784,10566,12207,3115,1840,548,31,696,2021,2086,1338,97,2287,176,111,16,261,329,76,0.295,0.11,0.187,0.59,0.38,0.55,0.93,0.255,0.314,0.395,113.7,141,5.2,69,110,129,112,113,129,160,105,14,2,3,0,10,4
"20","rodriiv01",1275,"C","1","Modern",337,2356,61218,14922,1233,143,164,127,0,786,661,0,"0","No","No","No","No","Yes","Yes","Ivan Rodriguez",2543,9592,10270,2844,1910,572,51,311,1354,1332,513,67,1474,58,76,31,337,127,64,0.296,0.05,0.144,0.35,0.334,0.464,0.798,0.168,0.321,0.344,69,104,4.4,318,110,56,89,98,109,106,107,14,13,1,0,7,0
"21","brettge01",1001400,"3B","1","Free Agency",235,2162,56553,5503,3984,292,674,0,0,0,0,0,"0","No","Yes","Yes","Yes","Yes","No","George Brett",2707,10349,11625,3154,2035,665,137,317,1583,1596,1096,228,907,33,120,26,236,201,97,0.305,0.094,0.078,1.21,0.369,0.487,0.857,0.183,0.307,0.374,84.6,132,5.2,-10.2,116,110,57,113,124,138,108,13,1,1,0,3,0
"22","dimagjo01",1003311,"OF","1","Integration",130,0,0,4529,153,105,30,0,0,0,0,0,"0","No","No","No","Yes","No","No","Joe DiMaggio",1736,6821,7671,2214,1333,389,131,361,1390,1537,790,0,369,46,0,14,130,30,9,0.325,0.103,0.048,2.14,0.398,0.579,0.977,0.254,0.304,0.439,82.6,151,5.2,32.3,117,99,60,112,142,196,105,13,0,3,0,0,0
