"","playerID","fg_playerID","POS","inducted","play_era","PO","A","E","DP","Pitching Triple Crown","300_wins","3000_so","300_sv","ped_use","Name","W","L","ERA","WAR","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","ERA-","FIP-","E-F","K/9+","BB/9+","K/BB+","H/9+","HR/9+","AVG+","WHIP+","BABIP+","LOB%+","all_star_appearances","num_gold_gloves","num_cy_young","num_mvp","num_ws_mvp"
"1","spahnwa01",1012299,"SP","1","Expansion",222,999,58,82,"0","Yes","No","No","No","Warren Spahn",363,245,3.09,74.5,750,665,382,63,29,0,5243.2,21547,4830,2016,1798,434,1434,60,42,81,5,2583,4.43,2.46,1.8,8.29,0.74,0.241,1.19,0.258,0.753,3.46,84,94,-0.37,98,73,135,93,88,95,88,94,105,14,0,1,0,0
"2","riverma01",844,"RP","1","Modern",110,258,6,12,"0","No","No","Yes","No","Mariano Rivera",82,60,2.21,39.1,1115,10,0,0,652,46,1283.2,5103,998,340,315,71,286,41,46,13,3,1173,8.22,2.01,4.1,7,0.5,0.209,1,0.263,0.805,2.76,49,62,-0.56,127,58,215,75,46,79,71,89,114,13,0,0,0,1
"3","seaveto01",1011708,"SP","1","Free Agency",328,692,42,54,"0","Yes","Yes","No","No","Tom Seaver",311,205,2.86,92.4,656,647,231,61,1,0,4782.2,19369,3971,1674,1521,380,1390,117,76,126,8,3640,6.85,2.62,2.62,7.47,0.72,0.222,1.12,0.259,0.767,3.04,79,85,-0.17,127,81,157,86,98,89,85,93,106,12,0,3,0,0
"4","clemero02",815,"SP","0","Modern",320,575,25,31,"2","Yes","Yes","No","Yes","Roger Clemens",354,184,3.12,133.7,709,707,118,46,0,0,4916.2,20240,4185,1885,1707,363,1580,63,159,143,20,4672,8.55,2.89,2.96,7.66,0.66,0.226,1.17,0.284,0.746,3.09,70,71,0.04,142,84,169,83,65,87,83,98,105,11,0,7,1,0
"5","carltst01",1001964,"SP","1","Free Agency",109,724,42,36,"1","Yes","Yes","No","No","Steve Carlton",329,244,3.22,96.5,741,709,254,55,2,0,5217.1,21683,4672,2130,1864,414,1833,150,53,183,90,4136,7.13,3.16,2.26,8.06,0.71,0.236,1.25,0.279,0.741,3.15,87,87,0.06,132,97,135,93,99,95,94,100,103,10,1,4,0,0
"6","glavito02",90,"SP","1","Modern",262,856,26,67,"0","Yes","No","No","No","Tom Glavine",305,203,3.54,66.7,682,682,56,25,0,0,4413.1,18604,4298,1900,1734,356,1500,145,66,65,7,2607,5.32,3.06,1.74,8.76,0.73,0.252,1.31,0.28,0.739,3.95,86,94,-0.42,83,92,90,98,76,99,96,97,103,10,0,2,0,1
"7","johnsra05",60,"SP","1","Modern",90,448,57,18,"1","Yes","Yes","No","No","Randy Johnson",303,166,3.29,110.5,618,603,100,37,2,1,4135.1,17067,3346,1703,1513,411,1497,37,190,109,33,4875,10.61,3.26,3.26,7.28,0.89,0.218,1.17,0.291,0.747,3.19,75,73,0.11,168,94,179,80,88,84,84,100,105,10,0,5,0,1
"8","gossari01",1004894,"RP","1","Steroids",78,180,21,11,"0","No","No","Yes","No","Rich Gossage",124,107,3.01,31.1,1002,37,16,0,310,0,1809.1,7507,1497,670,605,119,732,90,47,63,5,1502,7.47,3.64,2.05,7.45,0.59,0.223,1.23,0.27,0.761,3.18,80,84,-0.17,147,111,132,85,77,88,92,97,106,9,0,0,0,0
"9","hubbeca01",1006123,"SP","1","Integration",155,824,33,55,"0","No","No","No","No","Carl Hubbell",253,154,2.98,55.6,535,431,260,36,33,0,3590.1,14805,3461,1380,1188,227,725,0,53,53,1,1677,4.2,1.82,2.31,8.68,0.57,0.247,1.17,0.267,0.729,3.61,77,89,-0.63,129,62,205,90,112,92,83,94,108,9,0,0,2,0
"10","maricju01",1008106,"SP","1","Expansion",291,577,47,27,"0","No","No","No","No","Juan Marichal",243,142,2.89,61.2,471,457,244,52,2,0,3507.1,14236,3153,1329,1126,320,709,82,40,51,20,2303,5.91,1.82,3.25,8.09,0.82,0.234,1.1,0.261,0.745,3.04,81,89,-0.15,103,60,170,94,106,95,85,94,103,9,0,0,0,0
