"","playerID","POS","W","L","inducted","play_era","G","GS","CG","SHO","SV","IP","IPouts","H","ER","HR","BB","SO","BAOpp","ERA","SO%","BB%","SO:BB","IBB","WP","HBP","BK","BFP","GF","R","SH","SF","GIDP","InnOuts","PO","A","E","DP","Pitching Triple Crown","300_wins","3000_so","300_sv","ped_use"
"1","abbotji01","SP",87,108,"0","Steroids",263,254,31,6,0,1674,5022,1779,791,154,620,888,0.246706420746082,4.25268817204301,0.123145194841215,0.0859797531549022,1.43225806451613,30,53,32,11,7211,5,880,70,47,200,5022,72,300,9,16,"0","No","No","No","No"
"2","adamsba01","SP",194,140,"0","Live Ball",482,355,206,44,15,2995.3,8986,2841,917,68,430,1036,0.237800284590274,2.75531666277168,0.0867163304595296,0.0359922993220055,2.4093023255814,NA,26,47,2,11947,89,1129,NA,NA,NA,NA,58,648,17,17,"0","No","No","No","No"
"3","aguilri01","RP",86,81,"0","Steroids",732,89,10,0,318,1291.2,3874,1233,512,138,351,1030,0.228714524207012,3.56877323420074,0.191059172695233,0.0651085141903172,2.93447293447293,42,53,36,10,5391,557,568,52,33,94,3874,99,177,5,9,"0","No","No","Yes","No"
"4","akerja01","RP",47,45,"0","Expansion",495,0,0,0,123,746.1,2238,679,272,64,274,404,0.215966921119593,3.2810615199035,0.128498727735369,0.0871501272264631,1.47445255474453,68,13,40,0,3144,321,312,NA,NA,NA,2240,65,167,8,20,"0","No","No","No","No"
"5","alexado01","SP",194,174,"0","Free Agency",561,464,98,18,3,3367.6,10103,3376,1406,324,978,1528,0.238384408981782,3.75757215821356,0.107894365202655,0.0690580426493433,1.56237218813906,60,74,53,10,14162,56,1541,116,97,NA,10101,264,521,32,36,"0","No","No","No","No"
"6","alexape01","SP",373,208,"1","Live Ball",696,599,437,90,32,5189.9,15570,4868,1476,164,951,2198,0.232607033639144,2.55958688992081,0.105026758409786,0.0454415137614679,2.31125131440589,NA,39,70,1,20928,80,1851,NA,NA,NA,NA,189,1419,25,50,"3","Yes","No","No","No"
"7","allenjo02","RP",142,75,"0","Integration",352,241,109,17,18,1950.4,5851,1849,813,104,738,1070,0.222986010612639,3.75153814602133,0.129040038591413,0.0890014471780029,1.44986449864499,NA,68,38,5,8292,68,924,NA,NA,NA,NA,104,366,21,24,"0","No","No","No","No"
"8","altroni01","SP",83,75,"0","Live Ball",218,161,128,16,7,1514.1,4542,1455,445,16,272,425,0.241533864541833,2.64513572419259,0.0705511288180611,0.0451527224435591,1.5625,NA,31,22,1,6024,46,600,NA,NA,NA,NA,167,610,29,23,"0","No","No","No","No"
"9","appieke01","SP",169,137,"0","Steroids",414,402,34,12,0,2595.4,7786,2425,1078,232,933,1994,0.221299507209345,3.73815211528088,0.181967512319766,0.0851432743201314,2.13719185423365,51,106,79,7,10958,2,1168,67,72,207,7786,202,225,12,25,"0","No","No","No","No"
"10","bahnsst01","RP",146,149,"0","Free Agency",574,327,73,16,20,2528.8,7587,2440,1013,223,924,1359,0.228016073264181,3.60526732046821,0.12699747687132,0.0863470703672554,1.47077922077922,59,89,34,3,10701,90,1127,NA,NA,NA,7586,154,414,35,26,"0","No","No","No","No"
