"","playerID","fg_playerID","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","PA","BA","1B","SLG","OBP","OPS","SO%","BB%","BB:SO","Range","POS","GS","InnOuts","PO","A","E","DP","PB","WP","SB_against","CS_for","ZR","Triple Crown","500_hr","3000_hit","1500_runs","1500_rbi","2500_G","ped_use","inducted","play_era","ISO","BABIP","wOBA","WAR","wRC+","all_star_appearances","num_gold_gloves","num_mvp","num_ws_mvp","silver_slugger","hank_aaron_award"
"1","cabremi01",1744,2699,10022,1530,3088,607,17,507,1847,40,21,1227,2031,238,72,5,100,353,11421,0.308122131311116,1957,0.523847535422071,0.384116977497592,0.907964512919664,0.177830312582086,0.107433674809561,0.604135893648449,4.56909966654316,"LF",2221,57141,10448,1884,153,1113,0,0,0,0,0,"1","Yes","Yes","Yes","Yes","Yes","No",0,"Modern",NA,NA,NA,NA,NA,12,NA,2,NA,7,2
"2","pujolal01",1177,3080,11421,1914,3384,686,16,703,2218,117,43,1373,1404,316,123,1,123,426,13040,0.296296296296296,1979,0.543822782593468,0.374233128834356,0.918055911427824,0.107668711656442,0.105291411042945,0.977920227920228,6.31850649350649,"LF",2326,60725,17617,1844,147,1729,0,0,0,0,0,"0","Yes","Yes","Yes","Yes","Yes","No",0,"Modern",NA,NA,NA,NA,NA,11,2,3,NA,6,2
"3","molinya01",7007,2226,7817,777,2168,408,7,176,1022,71,37,542,922,50,76,43,75,287,8510,0.277344249712166,1577,0.398874248432903,0.32737955346651,0.726253801899413,0.10834312573443,0.063689776733255,0.587852494577007,7.32524707996406,"C",2119,55220,15232,1074,86,148,96,0,558,383,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,10,9,NA,NA,1,NA
"4","suzukic01",1101,2653,9934,1420,3089,362,96,117,780,509,117,647,1080,181,55,50,48,92,10684,0.310952285081538,2514,0.402053553452788,0.354829651815799,0.756883205268588,0.101085735679521,0.0605578435043055,0.599074074074074,1.93931398416887,"RF",2248,60118,5022,123,38,28,0,0,0,0,0,"0","No","Yes","No","No","Yes","No",0,"Modern",NA,NA,NA,NA,NA,10,10,1,NA,3,NA
"5","beltrca01",589,2586,9768,1582,2725,565,78,435,1587,312,49,1084,1795,104,51,18,110,203,11013,0.278972153972154,1647,0.486384111384111,0.350494869699446,0.836878981083558,0.162989194588214,0.0984291292109325,0.603899721448468,2.04988399071926,"CF",2191,56943,5158,143,75,37,0,0,0,0,0,"0","No","No","Yes","Yes","Yes","No",0,"Modern",NA,NA,NA,NA,NA,9,3,NA,NA,2,NA
"6","troutmi01",10155,1407,5094,1052,1543,296,51,350,896,204,37,919,1354,117,92,0,53,64,6158,0.30290537887711,846,0.58716136631331,0.414745047093212,1.00190641340652,0.219876583306268,0.149236765183501,0.678729689807976,2.29637526652452,"CF",1319,34579,3191,40,21,10,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,9,NA,3,NA,8,2
"7","canoro01",3269,2267,8773,1262,2639,572,33,335,1306,51,38,620,1214,112,85,10,62,286,9540,0.300809301265246,1699,0.488088453208709,0.350524109014675,0.838612562223384,0.127253668763103,0.0649895178197065,0.510708401976936,4.42699602999559,"2B",2154,56750,4155,5881,126,1428,0,0,0,0,0,"0","No","No","No","No","No","Yes",0,"Modern",NA,NA,NA,NA,NA,8,2,NA,NA,5,NA
"8","altuvjo01",5417,1578,6305,986,1935,379,29,192,696,279,81,509,840,43,64,26,46,171,6924,0.30689928628073,1335,0.467565424266455,0.362218370883882,0.829783795150337,0.121317157712305,0.0735124205661467,0.605952380952381,3.81939163498099,"2B",1517,39683,2241,3786,94,858,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,7,1,1,NA,5,1
"9","cruzne02",2434,2006,7358,1081,2018,367,14,459,1302,83,32,732,1870,77,84,2,59,177,8233,0.274259309594999,1178,0.515085621092688,0.344224462528847,0.859310083621535,0.22713470180979,0.0889104822057573,0.39144385026738,1.00697906281157,"RF",938,24681,1969,51,34,11,0,0,0,0,0,"0","No","No","No","No","No","Yes",0,"Modern",NA,NA,NA,NA,NA,7,NA,NA,NA,4,NA
"10","goldspa01",9218,1620,5927,1045,1750,382,22,315,1042,147,33,916,1545,108,44,0,50,134,6937,0.295258984309094,1031,0.526573308587818,0.390658786218827,0.917232094806645,0.222718754504829,0.132045552832637,0.592880258899676,8.79814814814815,"1B",1546,40836,13200,1053,47,1247,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,7,4,NA,NA,4,1
