"","playerID","fg_playerID","POS","W","L","G","GS","CG","SHO","SV","IP","IPouts","H","ER","HR","BB","SO","BAOpp","ERA","SO%","BB%","SO:BB","IBB","WP","HBP","BK","BFP","GF","R","SH","SF","GIDP","InnOuts","PO","A","E","DP","Pitching Triple Crown","300_wins","3000_so","300_sv","ped_use","inducted","play_era","WAR","WHIP","BABIP","LOB%","FIP","all_star_appearances","num_gold_gloves","num_cy_young","num_mvp","num_ws_mvp"
"1","kershcl01",2036,"SP",197,87,401,398,25,15,0,2580.9,7743,1955,711,206,629,2807,0.19242125984252,2.47936766244333,0.276279527559055,0.0619094488188976,4.46263910969793,27,95,39,22,10160,1,777,90,29,177,7743,73,358,11,15,"1","No","No","No","No",0,"Modern",73.4,1,0.27,0.791,2.76,9,1,3,1,NA
"2","kimbrcr01",6655,"RP",41,36,709,0,0,0,394,688.4,2065,398,177,56,280,1098,0.144885329450309,2.31406159209762,0.399708773207135,0.10192937750273,3.92142857142857,9,63,31,2,2747,567,196,8,8,30,2065,28,43,2,2,"0","No","No","Yes","No",0,"Modern",20.2,0.98,0.267,0.814,2.34,8,NA,NA,NA,NA
"3","scherma01",3137,"SP",201,102,430,421,12,5,0,2681.9,8046,2180,927,300,701,3193,0.201274120579817,3.11085424512472,0.294801957344659,0.0647216323515834,4.55492154065621,20,74,107,7,10831,2,998,59,54,139,8046,141,198,16,14,"0","No","Yes","No","No",0,"Modern",70.3,1.07,0.288,0.775,3.1,8,NA,3,NA,NA
"4","verlaju01",8700,"SP",244,133,482,482,26,9,0,3162.9,9489,2654,1139,322,880,3198,0.206055900621118,3.24101299440387,0.248291925465839,0.0683229813664596,3.63409090909091,27,90,104,19,12880,0,1235,44,69,168,9489,177,304,34,30,"1","No","Yes","No","No",0,"Modern",78,1.12,0.278,0.754,3.36,8,NA,2,1,NA
"5","chapmar01",10233,"RP",44,35,667,0,0,0,315,639.9,1920,366,176,42,318,1045,0.140823393612928,2.47538677918425,0.402077722200846,0.122354751827626,3.28616352201258,5,68,30,2,2599,484,191,5,13,20,1920,19,44,11,1,"0","No","No","Yes","No",0,"Modern",20.1,1.07,0.278,0.798,2.35,7,NA,NA,NA,NA
"6","salech01",10603,"SP",114,75,323,243,16,3,12,1678,5034,1362,565,178,387,2064,0.201718009478673,3.03039332538737,0.305687203791469,0.0573163507109005,5.33333333333333,15,38,103,1,6752,25,612,20,28,115,5034,68,155,4,10,"0","No","No","No","No",0,"Modern",45.5,1.04,0.295,0.774,2.92,7,NA,NA,NA,NA
"7","hernafe02",4772,"SP",169,136,419,418,25,11,0,2729.8,8189,2487,1037,264,805,2524,0.220400567174761,3.41893178987472,0.223679546260191,0.0713399503722084,3.13540372670807,16,156,105,7,11284,0,1157,50,56,271,8189,188,321,19,28,"0","No","No","No","No",0,"Modern",54,1.21,0.293,0.74,3.52,6,NA,1,NA,NA
"8","rodrifr03",1642,"RP",52,53,948,0,0,0,437,975.9,2928,738,310,98,389,1142,0.183994016454749,2.85889947740547,0.284717028172526,0.0969832959361755,2.93573264781491,42,68,17,2,4011,677,336,24,22,48,2928,70,65,4,3,"0","No","No","Yes","No",0,"Modern",16.3,1.15,0.271,0.803,3.31,6,NA,NA,NA,NA
"9","darviyu01",13074,"SP",95,75,242,242,2,1,0,1488,4464,1195,579,187,479,1788,0.195773263433814,3.50201612903226,0.292922673656619,0.0784731323722149,3.73277661795407,8,76,66,5,6104,0,609,11,37,92,4464,96,109,5,12,"0","No","No","No","No",0,"Modern",32,1.13,0.281,0.765,3.46,5,NA,NA,NA,NA
"10","lestejo01",4930,"SP",200,117,452,451,15,4,0,2740,8220,2610,1114,294,892,2488,0.227213371637503,3.65912408759124,0.216592669974754,0.0776529990423958,2.78923766816144,13,63,90,1,11487,0,1215,61,67,250,8220,147,266,20,18,"0","No","No","No","No",0,"Modern",46.2,1.28,0.3,0.747,3.78,5,NA,NA,NA,NA
