"","playerID","fg_playerID","POS","inducted","play_era","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","GS","InnOuts","PO","A","E","DP","PB","WP","SB_against","CS_for","ZR","PA","BA","1B","SLG","OBP","OPS","SO%","BB%","BB:SO","Range","Triple Crown","500_hr","3000_hit","1500_runs","1500_rbi","2500_G","ped_use","ISO","BABIP","wOBA","WAR","wRC+","all_star_appearances","num_gold_gloves","num_mvp","num_ws_mvp","silver_slugger","hank_aaron_award"
"1","aaronha01",1000001,"RF","1","Expansion",3298,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,32,21,121,328,2977,78414,7436,429,144,218,0,0,0,0,0,13919,0.304998382400518,2294,0.554513102555807,0.373949277965371,0.928462380521178,0.0993605862490121,0.100725626841009,1.01373825018077,2.38477865372953,"0","Yes","Yes","Yes","Yes","Yes","No",0.25,0.291,0.403,136.3,153,21,3,1,NA,NA,NA
"2","mayswi01",1008315,"CF","1","Expansion",2992,10881,2062,3283,523,140,660,1903,338,103,1464,1526,192,44,13,91,251,2666,71009,7752,233,156,121,0,0,0,0,0,12480,0.301718592041173,1960,0.557485525227461,0.383894230769231,0.941379755996692,0.122275641025641,0.117307692307692,0.959370904325033,2.66878342245989,"0","Yes","Yes","Yes","Yes","Yes","No",0.255,0.299,0.409,149.8,154,20,8,2,NA,NA,NA
"3","musiast01",1009405,"LF","1","Expansion",3026,10972,1949,3630,725,177,475,1951,78,31,1599,696,127,53,35,53,243,1198,29643,12439,818,142,962,0,0,0,0,0,12677,0.330842143638352,2253,0.559059423988334,0.416660093081959,0.975719517070293,0.0549025794746391,0.126133943361994,2.29741379310345,4.38103106411104,"0","No","Yes","Yes","Yes","Yes","No",0.228,0.32,0.435,126.4,157,20,NA,3,NA,NA,NA
"4","ripkeca01",1010978,"SS","1","Steroids",3001,11551,1647,3184,603,44,431,1695,36,39,1129,1305,107,66,10,127,350,2958,77876,4112,8214,294,1682,0,0,0,0,0,12873,0.275647130118604,2106,0.447407150896026,0.340169346694632,0.787576497590659,0.101374970869261,0.0877029441466636,0.865134099616858,4.10729756747751,"0","No","Yes","Yes","Yes","Yes","No",0.172,0.277,0.346,92.5,112,19,2,2,NA,8,NA
"5","carewro01",1001942,"1B","1","Free Agency",2469,9315,1424,3053,445,112,92,1015,353,187,1018,1028,144,25,128,64,216,2229,59197,13510,3709,260,1796,0,0,0,0,0,10422,0.327750939345142,2404,0.429200214707461,0.393014776434466,0.822214991141927,0.0986374976012282,0.0976779888696987,0.990272373540856,6.97407857432159,"0","No","Yes","No","No","No","No",0.101,0.359,0.369,72.3,132,18,NA,1,NA,NA,NA
"6","yastrca01",1014326,"LF","1","Free Agency",3308,11988,1816,3419,646,59,452,1844,168,116,1845,1393,190,40,13,105,323,2826,73908,10437,775,135,643,0,0,0,0,0,13978,0.285201868535202,2262,0.462045378712045,0.379453426813564,0.84149880552561,0.0996566032336529,0.131993132064673,1.32447954055994,3.38935912938331,"1","No","Yes","Yes","Yes","Yes","No",0.177,0.29,0.375,94.8,130,18,7,1,NA,NA,NA
"7","rosepe01",1011217,"LF","0","Free Agency",3562,14053,2165,4256,746,135,160,1314,198,149,1566,1143,167,107,56,79,247,3437,90298,12394,3349,213,1083,0,0,0,0,0,15805,0.302853483242012,3215,0.409307621148509,0.375134451123062,0.784442072271571,0.0723188864283455,0.0990825688073395,1.37007874015748,4.41970802919708,"0","No","Yes","Yes","No","Yes","No",0.106,0.319,0.354,80.2,121,17,2,1,1,1,NA
"8","willite01",1014040,"LF","1","Integration",2292,7706,1798,2654,525,71,521,1839,24,17,2021,709,86,39,5,20,197,717,17062,4158,140,113,30,0,0,0,0,0,9786,0.344406955618998,1537,0.633791850506099,0.481708563253628,1.11550041375973,0.0724504394032291,0.206519517678316,2.85049365303244,1.87521815008726,"2","Yes","No","Yes","Yes","No","No",0.289,0.328,0.494,129.8,187,17,NA,2,NA,NA,NA
"9","mantlmi01",1008082,"CF","1","Expansion",2401,8102,1677,2415,344,72,536,1509,153,38,1733,1710,126,13,14,47,113,1927,48597,6734,290,107,201,0,0,0,0,0,9895,0.298074549493952,1463,0.556776104665515,0.420515411824154,0.977291516489668,0.172814552804447,0.175138959070237,1.01345029239766,2.92544773011245,"1","Yes","No","Yes","Yes","No","No",0.259,0.318,0.428,112.3,170,16,1,3,NA,NA,NA
"10","berrayo01",1000898,"LF","1","Expansion",2120,7555,1175,2150,321,49,358,1430,30,26,704,414,49,52,9,44,146,1049,27512,9221,819,125,183,76,123,208,203,10,8355,0.28457974851092,1422,0.482197220383852,0.347815679233992,0.830012899617843,0.0495511669658887,0.08426092160383,1.70048309178744,4.73584905660377,"0","No","No","No","No","No","No",0.198,0.262,0.37,63.7,124,15,NA,3,NA,NA,NA
